,Text,Ground_Truth
60,Billy Braddock Please participate and give group overview.,True
61,"Bob Zacouras, report to the designated seats in the event of an outage in ECS.",True
62,"Bob, go ahead and accept the nom revision.",True
63,"Bob, leave the nom as it is in the system and do not make any changes.",True
64,"Book room today at one of our strip properties Mandalay Bay, Luxor, Monte Carlo, Excalibur or Circus Circus Las Vegas and send me the confirmation on it.",True
65,"book tickets by May 30, 2001 and complete your travel by December 31, 2001 to take advantage of everything Canada project has to offer.",True
66,Brenda Please put this on Dicks calendar and the desk calendar to make others know the meeting dates.,True
67,"Brenda, Please use the second check as my October pay",True
68,"Brenda, Please use the second check as my October payment.",True
69,Bring bottle of bubbly sparkling cider because we have some special month!,True
70,Bring this before his management to get it solved.,True
71,Buy from Tenaska and sell to ANP.,True
72,"By next meet, let me know what is reasonable and if there is anything can do to assist in expediting the process.",True
73,"Calger Jim, Please provide quick update.",True
74,"Call babysitter, email me back, and lets get together!",True
75,Call me after you get this,True
76,Call me after you get this message.,True
77,Call me when you have chance to talk through the list.,True
78,Call me when you have the time to go over this.,True
79,Call me with feedback after you speak to Hugo or with any other ideas about moving this project,True
80,Call me with feedback after you speak to Hugo or with any other ideas about moving this project forward.,True
81,Call my little EES buddies to get better understanding of specific LDC.,True
82,Call or email to let me know if this would work for you.,True
83,Call Susan on Friday afternoon to check how things are going.,True
84,Cancel my RSVP for Carrin Patman's lunch tomorrow.,True
85,"Carrie, recheck to confirm the deals values in the attached file are incorrect.",True
86,Change the Buyer from the old desk to the new desk that matches the Supply or Market deal that you are pathing with.,True
87,Change your address and request credit line increase.,True
88,Change your Contribution Rate for the November 15th payroll deductions,True
89,Check 1406 Walmart Description and unit,True
90,Check 2002 net commercial make sure it ties to the other 2002 plan page.,True
91,Check and let us know the correct process which we are using is correct or not.,True
92,check and see if we need FERC license for ERCOT and Please let me know.,True
93,Check Exhibit to make sure that all parties are listed and the appropriate counsel is listed.,True
94,Check if Tetco allocated the vol to their contract.,True
95,Check if this is now acceptable to Enron for filing.,True
96,Check out SageOnline where top financial industry professionals answer your questions and ask them about it.,True
97,Check out the database and make sure that got all PGE docs and then we can forward an email to users.,True
98,Check out the Maintain section so that you can get great repair and maintenance information.,True
99,Check out the new postings in the Office of the Chairman category in eMeet.,True
100,Check out this list of the points we plan to put on the map and let me know if we should eliminate or add based on traders requests Jan.,True
101,Check the Fantasy News area throughout the week for news and advice from our experts.,True
102,check to resolve system-wide problems on market data servers as well as data delivery networks and let me know the status.,True
103,Check with Bill Sherk to see what his progress has been regarding NCNG negotiations.,True
104,Check with Christie Patrick first to see what the history is.,True
105,Check with George to make sure no one in his group has called the other pipes.,True
106,check with Mark Reese to see if Lamar Frazier would be interested.,True
107,Check with your SME's for additional candidates.,True
108,"Chris and Judy, please pass on to any of your folks who need to know that we've completed the name change from Enron Cap Trade to Enron North America.",True
109,"Chris and Scott, please check the term and pricing, and correct the deal tickets.",True
110,"Chris Germany, please reserve conference room for up to people for hour on Wednesday.",True
111,"Chris Germany, please wire $584,689.36 to Enron Corp for the Elec settlement.",True
112,"Chris, as we discussed, please get with Brenda Fletcher and set this up since the pathing does not allow me.",True
113,"Chris, Find that local production list when you have chance and forward it to me.",True
114,"Chris, give me call when you have moment.",True
115,"Chris, let's look at this together so we get it right for January.",True
116,"Chris, Please call me once you have looked at these questions and let me know what additional questions we should ask Dominion.",True
117,"Chris, Please fax the support sent to you on this.",True
118,"Chris, please generate the August invoice for CES and send to me.",True
119,"Chris, since we now feel certain ENA bought this gas on Jan 21st, please path the supply deal from COH deal 153863 to one of those large CES deal tickets.",True
120,"Cohagan Director, EWS Also, please find attached the marketing contact list.",True
121,Collaborate with outside software consultants for developing new or modifying existing systems.,True
122,Collaborate with system-level and design verification engineers SW developers and IP developers to verify SoC designs on entire aggressive time schedules.,True
123,Collect the updates and information on career and community services available to them.,True
124,Compare this to the California Public Utilities Commission's definition of fair rates.,True
125,Compare your existing system with our latest product offerings.,True
126,"Complete the buyer and shipping info, print and fax this form with copy of your check attached or the completed credit card information.",True
127,Complete The Form Below and add new joinees details once you get from them.,True
128,conduct an investigation of the reported matter to make it clear.,True
129,Confirm whether these are appropriate in scope and amount.,True
130,"Consider all factors, including your risk tolerance, to take realistic view of how to handle the margin call.",True
131,Continue to monitor Hydro so as to reflect EES interests.,True
132,"Contribute to all team effort through attaining related results for next week, so we can start new team.",True
133,Coordinate with business and technology teams business analysts and developers in the next meeting.,True
134,Coordinate with financial products group.,True
135,Coordinate with product design management and engineering to integrate and prototype designs as requested from client.,True
136,Coordinate with team on design and prototype of new interfaces.,True
137,Coordinate with UI Programmer to strategize and execute user interfaces.,True
138,"Dan, Please check the revised agreement to see that have included all that is necessary.",True
139,"Dan, set up meeting to provide complete matrices on licensing and utility contracts sometime early during the week beginning Dec 3.",True
140,Daren Edward Terry Please provide Bob Superty with list of pipelines whom were late or had nomiation issues as result of this mornings Unify problems.,True
141,"Darren, Please review the names below and let me know that there are any other names that need to be added or subtracted from your group for PRC purposes.",True
142,"Dave Please schedule meeting with Travis, Mark and Mike Bridges early next week.",True
143,"Dave, authorize someone to committ an additional $3,000 to cover costs asociated with ENSR's work on the CT Fuel Cell Project.",True
144,David Please put Russell's info in my contacts.,True
145,"David, Please change the date on the draft so that we won't confuse it with the prior drafts.",True
146,"David, the next matrix to finish, please provide information in box where it asks for location of activities.",True
147,"Davis, make sure to read the latest statewide poll from the Public Policy Institute of California.",True
148,Delete the added language that begins with the words on or prior to the Guaranteed Unit Shipment Date.,True
149,Delete with one simple keystroke and continue the same for the entire project.,True
150,Denise please handle the communication team with the help of potential asset manager to train for the new project.,True
151,Describe what characteristics you are looking for in Transmission Congestion hedging product.,True
152,Determine the margin requirement for the position you wish to liquidate.,True
153,Determine what the Florida House and Senate is expecting and who should attend.,True
154,"Develop and update new project tracking program for all of GA This is currently my most timely project, as we would like to have it in place by the beginning of November.",True
155,Develop customer facing UI to large and complicated web applications and let me know.,True
156,Develop interaction models and site navigation ASAP.,True
157,Develop web pages and tools for Lynda com website with HTML JavaScript and CSS.,True
158,Discuss our timing for option transfer.,True
159,"Discuss that there are three total contracts, two for Gleason and one for Wheatland.",True
160,Discuss this topic on CA call tomorrow.,True
161,Discuss what needs to come across in the proprietary file.,True
162,Divide the amount of the margin call by the margin requirement for the position you wish to liquidate.,True
163,"Do the assigned test and let me know your score, Bryan Hull.",True
164,"Don Miller, let's make sure we all agree on contracts that have been terminated.",True
165,Don please consider sending rep for market trials and hourly requirements.,True
166,Double check my email for spaces prior to jporte1.,True
167,"Doug, please collect all the comments on the document and get them to me ASAP tomorrow.",True
168,"Doug, please confirm that have transposed the payment and the credit due to MichCon for the February 2002 Storage Invoice.",True
169,"Due to the Bid Week window, please approve this bridge enhancement for tonight's migration.",True
170,"Early Next Week, send this also to Phillip Allen.",True
171,"Edison, meet Peter on Monday and get the new update.",True
172,Either email me when you get chance or just give me call sometime this week to discuss on the project plans.,True
173,"Elizabeth, effectively communicate to the board and get the job done.",True
174,Email me and let me know the status of the Enron budget chart preparation.,True
175,Email me back about the new date and your opinion on restaurant choices and type of party.,True
176,Email me back with your pick so that we can proceed further.,True
177,"Email me the names of the candidates, whom you picked from my list!",True
178,Email me with latest happenings with you in the big city.,True
179,"Enerson, make sure you check with Patrice for this exact number so Chuck can send the invoice.",True
180,Ensure there aren't any issues to work on this task.,True
181,Enter coupon code WBK4AD2AH at checkout to receive your discount and let us know once it is applied.,True
182,Enter Demand fee into Sitara for March and April 2000.,True
183,"Eric, kindly prepare financial statements in timely manner.",True
184,Establish accurate database for all research programs and associate activities of all researchers.,True
185,Establish and maintain liaze with services desk.,True
186,Establish dedicated rate component for construction of native generation by the utilities.,True
187,"Execute debug, test software modules and update the results.",True
188,Execute features in a well document robust and readable manner and pass to the team.,True
189,Extend brand to intuitive interactive model and send to me by this Monday.,True
190,Fall back to old cpus Restore the disk layout restore to old configuration Restore the disk layout restore to old configuration FOR ASSISTANCE Hope to see you there!,True
191,"Fehrs and Ledfords, sign the option agreements.",True
192,"Felicia, Please schedule the rooms at least hr earlier so that vendors can setup the equipment.",True
193,File Your Taxes Online for Just $17.95 with CompleteTax!,True
194,Fill out and return your registration card or register by phone or fax by end of the day.,True
195,"Fill out the student information completely, including your email address.",True
196,Find out at Healthcare Outlook.,True
197,Find out the symptoms of this silent killer and make sure high blood pressure doesn't sneak up on you.,True
198,Find out what the handheld could handle and what it couldn't in his report.,True
199,Find out who else from Enron is part of the Bush transition team.,True
200,Find the answer by taking free trial membership from the American Association.,True
201,Find the reasons and the differences between the total ERCOT load forecast and the sum of the zonal load forecasts by tomorrow.,True
202,Fire up 320 megawatts of its total output by Aug.,True
203,"First thing in the morning, meet Davis for 20 minutes.",True
204,Follow these steps so you don't misplace these files.,True
205,Follow up and make sure the officers get set up correctly.,True
206,Follow up on action items from Nov.,True
207,Follow up with Frank Hosak to make sure that it is on the items to be discussed this coming Wednesday.,True
208,"For April Business, use only the following ENA contracts on CGAS.",True
209,"For Exhibit T, please confirm that Enron has received all of the documents that it should have received by now.",True
210,"For more information about this offer, visit NewPower's table located in the during the week of May 14 and tell us the joining date.",True
211,"For the month of March, please provide completed Hours survey for each position within your group.",True
212,Frank Rohan Ziegelaar Send it to Ina Rangel she can forward it to appropriate traders.,True
213,"Frank, just note to make sure that get any updates to the approved Counterparty list.",True
214,"Frank, send it to Ina Rangel so that she can forward it to appropriate traders.",True
215,Generate enough revenue for power purchases.,True
216,"George, Please send the latest cost estimates when you get chance this monday",True
217,"George, Please send the latest cost estimates when you get chance this morning.",True
218,"George, Please send the latest cost estimates when you get chance this morning.",True
219,Get all the details in our special report.,True
220,Get all the facts about the restructured Texas Power Markets in clear and comprehensive 130 page report.,True
221,Get Allyson to define the schedule going forward including potential hurdles.,True
222,"Get authorization from PERC July 14th or sooner with cost coverage provisions, since the EPC contractors are likely to want to charge thought you would enjoy this.",True
223,Get bunch of blue balloons ocean to put around pirate ships.,True
224,Get check cut for application fee.,True
225,Get copy of the AG's intervention papers.,True
226,Get feedback from GE today.,True
227,Get insights on the latest Internet trends at the end of tumultuous year.,True
228,Get intenet access from Juno by end of the day.,True
229,"Get involved with the Emerging Business Council by contacting HJUG, who is dedicated to the use of the Java TM Technology and Lifestyle.",True
230,Get it done wirelessly at Infowave by tomorrow,True
231,Get Janet's signature on the permit application.,True
232,Get quote on the new 2001 models.,True
233,"Get serious understanding of the latest developments in California and throughout the West that you just can't read about in the newspapers from the William Keese, Chairman of the California Energy Commission Stephen L.",True
234,Get Team to Sacramento and get with Hertzberg to discuss the options Bev,True
235,Get Team to Sacramento Get with Hertzberg to discuss the options Bev Hansen.,True
236,Get the Chicago recruiter to add to schedule.,True
237,Get the kind of information you need to make sound investment decisions.,True
238,"Get the latest enterprise application news, reviews and analysis.",True
239,Get the lowdown on all the different wireless LAN standards.,True
240,"Get the scoop on 1000s of artists, including exclusive photos, bios, song clips links.",True
241,Get this query fixed before the next presentation.,True
242,Get us all the detailed reports and component VAR reports that you can produce,True
243,Get with Kay Mann to see if Kilpatrick can get copy of the deal Dynegy negotiated for their project.,True
244,Get with Tom Chapman to find out the do's and don'ts with regard to mustering political support.,True
245,Give him call and he will fill you in on the details of the program.,True
246,Give me a call tomorrow so that we can discuss your determination and to make sure can respond accurately to her ETA concern.,True
247,Give me call ASAP so I can follow up with her or so you can take the lead.,True
248,Give me call once you get these.,True
249,Give me call when you have chance and we can talk about different avenues we can take.,True
250,Give me the details of what New Power paid ENA for October activity.,True
251,Give us price quote for getting these volumes to the NIPSCO citygate.,True
252,Go ahead and make the changes to the report before next meeting.,True
253,Go ahead and reduce their volume by hours for that day.,True
254,"Go ahead and release the assets, 100 recallable, for three years.",True
255,Go ahead and true up the PAL agreement to match physical flow.,True
256,"Go over all the portfolios, all the corresponding books and curves in RisktRac and make sure they are set up properly.",True
257,Go through the list of requests to determine which are in scope for this project and which fall out of scope.,True
258,Go to eMeet today and share your thoughts on this topic or on anything else you'd like to discuss.,True
259,"Gossett, make sure that everyone is using this.",True
260,"Guys, please send me new contract when you get chance this week.",True
261,Handle billing and collection from subscribers.,True
262,Have my Dad read the memo before you put it down,True
263,Have my Dad read the memo before you put it out.,True
264,Have team members sign forms and send to Bill Kendrick for Dec.,True
265,Have your people fill in the columns highlighted in yellow.,True
266,"Heather, please check the sections you noticed before and see if they are okay this time.",True
267,Help SoCalGas to terminate the Enron Agreements immediately should the court not accept the Agreements.,True
268,"Hey Ken, let's meet for lunch next week.",True
269,"Hi Carolyn, Please email me the execution version of the documents signed last week, as well as the current version of the other documents.",True
270,"Hi Jeff, Make sure the access to the network is defined as DS1 access...We would like DS3 access pricing because that is the minimum level of service we trade at today.",True
271,"Hi Kathleen, peoples confidentiality agreement has to be moved closer to the top of the list.",True
272,"Hi Nancy, Lisa Mellencamp's time is being consumed by special project, so I need you to work on this PPA.",True
273,"Hilliard, just note that the assignment and assumption agreement does not need to be executed, but the amendments still need to be executed and returned to me.",True
274,"Hilliard, know the status of these contracts forwarded to you on August 23, 2000 and August 25, 2000.",True
275,"Hiren, please send note to Brian Riley verifying that the GMT payment has gone out to the Houston company by the end of the day.",True
276,Hit Toyota Gnomes for extra points and try to be in top list.,True
277,"However, please continue to directly coordinate with Scott and he will keep me apprised of the status.",True
278,"However, please get with Ruth Concannon and Steve Van Hooser to confirm not paying but get the items.",True
279,I need you to create disincentive for underscheduling for load and generation.,True
280,I need you to take careful evaluation of what this technology could mean to our city and its economic development.,True
281,I want all of you to meet this afternoon or tomorrow to discuss this.,True
282,"I want you guys to make sure that everyone use the correct CP name and the list provided by confirms, tomorrow.",True
283,I want you to check and make sure that everything is running as it is designed,True
284,"I want you to compile our new Gas Accord II meetings and settlement conferences, and another for those who have expressly agreed to abide by the terms of CPUC Rule 51 attached.",True
285,I want you to double check and make sure that the Chase agreement is in good format for this master agreement.,True
286,I want you to file with FERC this week.,True
287,"I want you to join us for the Peninsula Environmental Forum on Tuesday, May 22 at p.m.",True
288,Identify overload risk areas and manage cogestion on the system.,True
289,"If fact, please review the confidentiality provisions in the GE agreement so that we can discuss same.",True
290,"If you have any problems or questions, please feel free to call me at Thank you, Lorie Leigh Suzanne, Please schedule this week's conference call for 9.30am on Wednesday, and Shoemaker.",True
291,"Imelda, Please switch my sitara access from central to west and email me with my password.",True
292,Implicit and explicit position break out issues.,True
293,"In addition, create section on our web site for enviornmental related matters.",True
294,"In Schedule 2, please add an attention line to Shazia Sarker.",True
295,"In the following chart, please indicate your availability.",True
296,"In the future, please include me on the original emails concerning transport.",True
297,"In the future, please let me know what you need so that there can be some order to the process.",True
298,"Ina, keep getting these security requests that cannot approve.",True
299,"Ina, Please sign me up for this course whenever Hunter is signed up.",True
300,Include the federal reference number of the wire as proof of funds forthcoming.,True
301,"Include the project description, investors, business entity and also please provide the names and numbers of prior investigation",True
302,Increase the permissible power level at Gleason on each of the turbines from 182mw to 185mw.,True
303,Inform the team that will continue to do everything in my power to serve the best interests of Enron's employees and shareholders.,True
304,Interact with cross-functional team to spread around world to work together in entire verification related tasks.,True
305,Interconnect definitive studies through VEPCO.,True
306,Invest in stocks and also diversify your portfolio with futures and futures options and accomplish your investment objectives!,True
307,Investigate and review the California crisis.,True
308,Investigate corruption in the private and public sectors after 20 parliamentarians belonging to parties within the ruling coalition withdrew their support for the motion.,True
309,Invite everyone for the first QSE project manager conference call to share the thoughts.,True
310,"Jack, observe the usual safety precautions.",True
311,"Jack, please switch my sitara access from central to west and email me with my payslips",True
312,"Jackie, make sure that the gas at this meter is allocated to stranger's in POPS.",True
313,"Janet, please send copies of the VNG demand charge invoices to Denise Dodson.",True
314,Jeff Please check and confirm that this schedule works for entire team to participate in the debate.,True
315,"Jeff, please call Kevin with scheduling changes in the future.",True
316,"Jeff, send updates directly to Jennifer and copy me, too.",True
317,"Jerry Graves FYI, make sure you can access the Web for this coming weekend.",True
318,"Jim, follow up with the DOE opportunity.",True
319,"Jim, please find below the production schedule to update and review the regulatory component of the largest 50 curves 75 of net positions.",True
320,"Jim, pls get with Susan to make sure coverage is appropriate.",True
321,"Jim, shorten the timeline in the rules by tomorrow.",True
322,"Jimmy, keep me posted because will need this once month until we are invited to leave.",True
323,"Joan, change your email to Joni.",True
324,Joann please monitor STOI while I'm out.,True
325,"Joann, let me or Robert know what help you need in updating these tickets.",True
326,"Joann, let the Tenn schedulers know what additional volumes you need at Broad Run.",True
327,"Joann, please look at the other days and contracts and then plan perfectly for this month.",True
328,"Job, email her to expect registration confirmation via email.",True
329,"Joe Terry, please check with all the teams today to ensure they have talked with their customers about the scheduled quantities reports.",True
330,"Joe, please pass on to me the contact and telephone number for the Southwest airline ticket issue we were discussing at the Corpus Christi airport last week.",True
331,"John, edit the headings for 14 and 15.",True
332,"John, let's make sure the Gas Controllers are fully up to speed on this.",True
333,"John, please fix bugs and improve code by tomorrow.",True
334,"John, please utilize the latest acquired information to make required arrangements.",True
335,"John, postpone the group call until next week.",True
336,Join my husband at his officer's meeting in San Antonio.,True
337,Join the Integrated Solutions Team PSI Homesavers on April 21 April 28!,True
338,"Join us for this year's Wall Street Journal Technology Summit and find out what Silicon Valley, and you, can expect from Washington, no matter who wins.",True
339,"join us on Tuesday, March 15 at conference room to discuss the new features of the project.",True
340,Josh and John give an illustrated tour of the stuff you had to be there to believe.,True
341,Just allocate the actuals at the end of each month.,True
342,"Just call me up within 10 days from the receipt of this email and say the word ""BULL"".",True
343,Just let me know what time is ideal and will schedule it with Erik.,True
344,Just note to make sure that get any updates to the approved Counterparty list.,True
345,Just send an email with the time and place when you guys figure it out and I'll be there.,True
346,"Just send the updated documents through this link before midnight, Pacific Time, on Friday, November 24th.",True
347,"Karen, please provide Louise and John with copies of the resumes Kevin's group selected for the summer interns.",True
348,"Karen, revise the new version attached and let me know what you think.",True
349,"Kate, Please approve and auto-schedule the meeting for next week on this.",True
350,"Kathie Grabstald Just reminder that this data is due by Monday, October 22.",True
351,"Kathleen, could you please get with Rusty or Fred to see what's up.",True
352,"Kathleen, please add Fred Lagrasta, Vice President for signature authority for ENA Upstream Company ASAP.",True
353,"Kathy, please relay the information to Mike Grigsby at 37031 so he can pass it along to the user at gas daily today.",True
354,"Kay and Barbara, please let me know which one of you is working on this deal.",True
355,"Kay Peter, Go ahead and complete the draft with what you have, and transmit it to me with list of questions which need to be answered to finish it.",True
356,Kay tell Brett and the Elektrobolt team the terms.,True
357,"Kay, attach the latest versions of the CA Energy Development breakout agreements and email them to everyone.",True
358,"Kay, complete this break out contract thing as soon as possible.",True
359,"Kay, please add this name to the Virginia list, check and eliminate the people who are working for other project.",True
360,"Kay, please find Turbine Manifest that details delivery dates for all 24 turbines and bring to me.",True
361,Keep everyone posted that this capacity is subject to the bidding process and this is simply proposal based on capacity available to date.,True
362,Keep in touch and let me know what day is good for you!,True
363,Keep track of changes in airfares to your favorite cities with Fare Watcher which can help us.,True
364,Keith please consider sending rep for control area operations requirements.,True
365,"Ken, make sure that we are keeping file on Authorized Trader announcements and changes.",True
366,"Ken, please have someone research Sitara sales deal for March 2002 production that is not bridging to Unify with two days.",True
367,Kevin please indicate the area that you want us to target Bryce at.,True
368,"Kevin Tim, Please review the attached listing and advise if you agree to the projects and amounts listed as billings that Enron North America will receive in 2002 for support of these efforts.",True
369,"Kevin, Let me know your availability and whoever else you think needs to interview him and can setup phone interviews.",True
370,"Kevin, Please let me know who will be using the tickets for Tues.",True
371,"Kevin, provide Summary Annual Report for the Enron Benefit Plans.",True
372,"Kim Hillis, make sure you get our trades updated into Fred's midmarket results for August.",True
373,"Kim, please confirm all firm physical transactions both telephonic and EOL under the Master Firm and not the GISB.",True
374,"Kim, please forward project plan to your group.",True
375,"Kim, provide significant additional sorting functionality over the old.",True
376,"Kim, remind me to check the Harry David's catalogue for something nifty.",True
377,Kindly compare the enclosed Deed with the version of the Deed in your possession.,True
378,"Larry, Please proceed with all haste on this to complete ASAP.",True
379,"Larry, Please take look at the attached excel file for the 7400 ft elevation and inform the manger.",True
380,"Learn how our clients get the best results and receive the most professional care in the investment world today, to help our company.",True
381,Learn how to speculate in the grain markets by leveraging and be in the market.,True
382,"Lee, check the dates to make sure they are right.",True
383,Let me and Maria know what you decide to do and we'll arrange briefing on the specific rules to be aware of and we'll make sure we understand the situation fully so we can properly disclose to FERC what is up.,True
384,Let me know as soon as possible because it is scheduled for this week.,True
385,"Let me know as soon as you can so we can make sure the gas is allocated correctly for September, and so it can set it up for October if need be.",True
386,Let me know as soon as you find out about the time scheduled for the conference call with Enron.,True
387,Let me know as soon as you Take Allen Parkway to Shepherd.,True
388,"Let me know at your convenience, so we can plan accordingly.",True
389,Let me know by 2pm so we have time to get it to her.,True
390,Let me know by Friday about your plan on attending.,True
391,Let me know if the above fits your purpose or if you would prefer to move in another direction.,True
392,"Let me know in next meeting, what type of deal this was intended to be.",True
393,Let me know the outcome of that questions and lets finalize.,True
394,Let me know the problem you have with the schedule that was outlined.,True
395,Let me know tomorrow if you still want to go.,True
396,Let me know what additional information you may need.,True
397,Let me know what curve the following deals are being marked against.,True
398,Let me know what information you need from me.,True
399,Let me know what time is most suited to your schedule.,True
400,Let me know what you find in MOPS.,True
401,Let me know what you guys can dig up.,True
402,Let me know what you want to do at this point.,True
403,let me know what your thoughts are once I reach.,True
404,Let me know when you are available this afternoon.,True
405,Let me know when you get the quotes from P,True
406,Let me know when you get the quotes from Pauline.,True
407,Let me know when you get the quotes from Pauline.,True
408,Let me know where the differences are.,True
409,Let me know whether the form of this document is acceptable to MEH.,True
410,"Let me know which is correct as per the exchange agreement, by moday.",True
411,Let me know your flights so that can I arrange the air transfers between Belize City and Placencia and dive lessons through deposit.,True
412,Let me know your opinions or sources that can use to push for only true costs 1.4 million.,True
413,"Let Scott Hendrickson, Robin, and Dick know what fuel waivers CNG approves.",True
414,Let's discuss and call Paul Myford after you complete your review.,True
415,Let's discuss at your earliest convenience.,True
416,Let's discuss this to figure out the best gameplan for crossing some of these off the list.,True
417,Let's include this issue as one of topics to be discussed today and invite the people working on this.,True
418,Let's just make sure Howard keeps Andy in the loop on this as the traders are not expected to understand the trading framework of EOL.,True
419,Let's make sure before our meeting that we are all in agreement as to the pricing approach we will take with them.,True
420,Let's make sure to document any changes in DMS.,True
421,Let's make sure we all agree on contracts that have been terminated.,True
422,Let's meet in the morning and discuss the LOI.,True
423,Let's meet on Monday to assess the issue.,True
424,Let's plan to talk about this on Monday.,True
425,Let's set GOAL to have the first totally pathed and tracked and balanced and bridged back and clean by close of business the 19th.,True
426,"Let's talk after you have had chance to review, so that we can give you more details.",True
427,Let's try and reach an agreement on the construction manager issue tomorrow morning.,True
428,Let's try and set up conference call with Phillip and John to talk about Andy ehrenberg.,True
429,"linda, please remove my name from your distribution list, and add on kathy's to increase the balance the lists.",True
430,"Link the Texas grid to the East, so that electricity could flow these bridges, which at peak capacity could carry mere 820 megawatts.",True
431,"Lisa Alfaro, get look at the assignment provisions so that, Brett and Enron can know what his constraints are with respect to possible sale.",True
432,Lisa Please review the attached Credit Schedule from Dow.,True
433,"Lisa, get some kind of confirmation from TCO that this happened.",True
434,"Liz, Let me know when they send out the web address and will make sure that John fills out the forms.",True
435,Lloyd Will Interconnection Engineers Midwest location or work remote Will interface directly with transmission marketing.,True
436,"Log into the Microsoft Games site on May 17th to follow this year's event, which will Empires, Age of Mythology, which brings mythical monsters and heroes to cocktail in years and participate also.",True
437,Log into the stack manager on Wednesday afternoon and ensure that your products are ready to be activated on Thursday morning.,True
438,"Lucy, please email the answers.",True
439,"Lucy, please open this excel file and input the rents and names due for this week.",True
440,"Lucy, Please open this excel file and input the rents and names due for this week.",True
441,"Lynn Weller, make sure someone is up to speed on your process that can represent you in the meeting.",True
442,"Lysa, make sure Paul gets this info.",True
443,"Maggy, be sure to put the slides in notes view and read my suggested explanations.",True
444,Maintain and update filing system for all incoming data and prepare database for all researchers.,True
445,Make changes to the pricing in deal 413462 mentioned below.,True
446,Make HTML CSS and JavaScript to work well across browser platforms.,True
447,Make it documented that the telescoped volumes on 3726 are cumulative and are incremental on 3924.,True
448,Make necessary FERC Filings to implement these changes.,True
